height,diameterX,diameterY
-2826.0,5649.0,5846.0
-269.0,INVALID,INVALID
-217.0,INVALID,INVALID
-3397.0,4981.0,5164.0
-3194.0,5121.0,5088.0
-3009.0,5417.0,5406.0
-2827.0,5808.0,5710.0
-2528.0,6001.0,6103.0
-2801.0,5677.0,5766.0
-2678.0,5819.0,5676.0
-2700.0,5812.0,5676.0
-2768.0,5751.0,5700.0
-2818.0,5683.0,5612.0
-3081.0,5346.0,5263.0
-2970.0,5486.0,5340.0
-2818.0,5726.0,5757.0
-2812.0,5748.0,5602.0
-2947.0,5504.0,5400.0
-3162.0,5518.0,5398.0
-2905.0,5652.0,5536.0
-3006.0,5506.0,5479.0
-2798.0,5761.0,5648.0
-2962.0,5547.0,5509.0
-2966.0,5569.0,5534.0
-2862.0,5711.0,5749.0
-3025.0,5525.0,5594.0
-2914.0,5584.0,5446.0
-3004.0,5523.0,5586.0
-2787.0,5758.0,5727.0
-2835.0,5692.0,5631.0
-2844.0,5736.0,5605.0
-2873.0,5764.0,5616.0
-2484.0,6142.0,6238.0
-2162.0,6638.0,6752.0
-2717.0,5852.0,5934.0
-2859.0,5665.0,5615.0
-2860.0,5495.0,5678.0
-2773.0,5750.0,5723.0
-2902.0,5618.0,5680.0
-2362.0,5694.0,5596.0
-2429.0,6079.0,5999.0
-607.0,INVALID,INVALID
-656.0,INVALID,INVALID
-2976.0,5077.0,5069.0
-3102.0,5294.0,5142.0
-3472.0,5019.0,4899.0
-2616.0,5990.0,6135.0
-2972.0,5530.0,5509.0
-2839.0,5629.0,5638.0
-2688.0,5813.0,5784.0
-2734.0,5656.0,5733.0
-2929.0,5573.0,5710.0
-2792.0,5751.0,5621.0
-2868.0,5566.0,5411.0
-2703.0,5782.0,5607.0
-2947.0,5578.0,5490.0
-2875.0,5602.0,5580.0
-2692.0,5854.0,5687.0
-2689.0,5787.0,5688.0
-2912.0,5680.0,5612.0
-2951.0,5554.0,5547.0
-2826.0,5636.0,5568.0
-2898.0,5479.0,5357.0
-2826.0,5502.0,5696.0
-2827.0,5648.0,5546.0
-3003.0,5435.0,5542.0
-2774.0,5650.0,5579.0
-2868.0,5598.0,5550.0
-3240.0,5233.0,5218.0
-2948.0,5469.0,5489.0
-2979.0,5501.0,5346.0
-3019.0,5336.0,5384.0
-3016.0,5375.0,5174.0
-2973.0,5487.0,5380.0
-3203.0,5121.0,5199.0
-2903.0,5435.0,5518.0
-3536.0,4670.0,4746.0
-3458.0,4889.0,4746.0
-3159.0,4586.0,4788.0
-2845.0,5623.0,5765.0
-3052.0,5329.0,5224.0
